kategori,kode_barang,nama_barang,harga_asli,harga_a1,harga_a2,keterangan
SAMA,CLT001,Floor Broom Brand '2 Macan',39000,39000,,harga tetap di 2 kontrak
SAMA,CLT002,Broom Stick with handle,26000,26000,,harga tetap di 2 kontrak
SAMA,CLT005,Lion Star Floor Brush with handle,28000,28000,28000,harga tetap di 3 kontrak
SAMA,CLT007,Lion Star Toilet Brush BO-32,27000,27000,,harga tetap di 2 kontrak
SAMA,CLT008,Krisbow Chamois Pink 43X32X0.2 SKU 10222449,70000,70000,70000,harga tetap di 3 kontrak
SAMA,CLT009,Dust Feather +-40cm,29000,29000,,harga tetap di 2 kontrak
SAMA,CLT013,3M Scotch Brite Dust Pan Plastic ID-44,125000,125000,125000,harga tetap di 3 kontrak
SAMA,CLT017,Rag Cloth Lap Meja,14500,14500,14500,harga tetap di 3 kontrak
SAMA,CLT018,Refill Krisbow Flat Mop 24" SKU 10072719,130000,130000,130000,harga tetap di 3 kontrak
SAMA,CLT019,Refill Lobby Duster 60cm,43000,43000,,harga tetap di 2 kontrak
SAMA,CLT020,Refill Livina Spin Mop Deluxe BM-46,32000,32000,,harga tetap di 2 kontrak
SAMA,CLT024,"Trash Bin 10L Pedal Lion Star",125000,125000,,harga tetap di 2 kontrak
SAMA,CLT029,Lion Star Glass Wiper BR-10,20000,20000,,harga tetap di 2 kontrak
SAMA,CTR001,Bottle Brush Baby Safe BS369,55000,55000,,harga tetap di 2 kontrak
SAMA,CTR003,Melamine Chopstick,17000,17000,,harga tetap di 2 kontrak
SAMA,CTR013,Tea Spoon Super DOLL 6 pcs,32000,32000,,harga tetap di 2 kontrak
SAMA,OTH003,Microfiber Cloth Edgeless Detailing Nanotech 420gr for Car,36000,36000,,harga tetap di 2 kontrak
SAMA,OTH005,Fischer S6,10000,10000,,harga tetap di 2 kontrak
SAMA,PTR006,Jahe Wangi (10pcs/rtg),14000,14000,,harga tetap di 2 kontrak
SAMA,PTR013,Nutrisari Box 500 gram,47500,47500,,harga tetap di 2 kontrak
SAMA,SNT011,Pledge Furniture Polish Lemon Pouch 450ml,23500,23500,23500,harga tetap di 3 kontrak
SAMA,SNT016,3M Hand Gloves Scotch Brite,38000,38000,,harga tetap di 2 kontrak
SAMA,SNT018,Baygon Insectisida Spray 600 ml.,39000,39000,,harga tetap di 2 kontrak
SAMA,SNT021,Microfiber Cloth,11000,11000,11000,harga tetap di 3 kontrak
SAMA,SNT024,Dahlia Air Freshener Aerosol 200ml,19500,19500,19500,harga tetap di 3 kontrak
SAMA,SNT025,Dahlia Air Freshness 75gr Hanging for Room (Teh Keraton),13000,13000,13000,harga tetap di 3 kontrak
SAMA,SNT027,Pantene Shampo 400 ml,69000,69000,,harga tetap di 2 kontrak
SAMA,SNT029,Ekonomi Cream Soap 196 gram,3700,3700,,harga tetap di 2 kontrak
SAMA,SNT031,Rinso Molto Liquid Detergen Anti Noda 750ml,19800,19800,,harga tetap di 2 kontrak
SAMA,SNT033,Hand Soap Refill SOS 4L,85000,85000,,harga tetap di 2 kontrak
SAMA,SNT036,Stainless Clenaner (EZCLEAN),61000,61000,61000,harga tetap di 3 kontrak
SAMA,SNT039,Tissue Pengesat Tessa (Tessa Hand Towell 2ply 150's),22000,22000,,harga tetap di 2 kontrak
SAMA,SNT042,Bebek Toilet Cleaner 450ml (bottle),22000,22000,,harga tetap di 2 kontrak
SAMA,SNT043,Porstex Porcelen 500 ml,21000,21000,21000,harga tetap di 3 kontrak
SAMA,SNT044,Vixal 780 ml,21000,21000,21000,harga tetap di 3 kontrak
SAMA,STR003,Bolpoint Kenko K-1,5000,5000,5000,harga tetap di 3 kontrak
SAMA,STR004,Bolpoint Multi Color Zebra A4C,13200,13200,,harga tetap di 2 kontrak
SAMA,STR006,Bolpoint Pilot BPT-P/Standart AE7 Black,2300,2300,,harga tetap di 2 kontrak
SAMA,STR008,Bolpoint Pilot BPT-P Red,2800,2800,,harga tetap di 2 kontrak
SAMA,STR011,Battery AAA Alkaline,17000,17000,,harga tetap di 2 kontrak
SAMA,STR014,Battery Panasonic LR44 (10pcs/stripe),39500,39500,,harga tetap di 2 kontrak
SAMA,STR021,Paper Binder Refill A5 (100 lembar),10000,10000,10000,harga tetap di 3 kontrak
SAMA,STR036,Correction Tape (Kenko CT3001),15000,15000,,harga tetap di 2 kontrak
SAMA,STR037,Cutter Kenko L-500,15000,15000,,harga tetap di 2 kontrak
SAMA,STR045,"White Envelopes 110x230 Paperline/Equivalent",27000,27000,27000,harga tetap di 3 kontrak
SAMA,STR046,"White Envelopes 95x152 Paperline/Equivalent",20000,20000,20000,harga tetap di 3 kontrak
SAMA,STR048,Kenko Glue Stick 15 gram,7000,7000,7000,harga tetap di 3 kontrak
SAMA,STR051,"HVS Paper SIDU A4 Light Blue/Blue 80gr",112000,112000,,harga tetap di 2 kontrak
SAMA,STR052,"HVS Paper SIDU A4 Light Green/Cyber Green 80gr",112000,112000,,harga tetap di 2 kontrak
SAMA,STR053,"HVS Paper SIDU A4 Light Red/Pink 80gr",112000,112000,,harga tetap di 2 kontrak
SAMA,STR056,"HVS Paper SIDU A4 Yellow/Cyber Yellow 80gr",112000,112000,,harga tetap di 2 kontrak
SAMA,STR062,HVS Legal 80 gram PeperOne/Equivalent,60000,60000,,harga tetap di 2 kontrak
SAMA,STR068,Stamp Ink Trodat 7011 Black 25ml,65000,65000,65000,harga tetap di 3 kontrak
SAMA,STR069,Stamp Ink Trodat 7011 Blue 25ml,65000,65000,65000,harga tetap di 3 kontrak
SAMA,STR070,Stamp Ink Trodat 7011 Green 25ml,65000,65000,65000,harga tetap di 3 kontrak
SAMA,STR071,Stamp Ink Trodat 7011 Red 25ml,65000,65000,65000,harga tetap di 3 kontrak
SAMA,STR076,Laminating Plastic A3 Joyko/Equivalent,220000,220000,,harga tetap di 2 kontrak
SAMA,STR078,Snowman Board Marker Black,9500,9500,,harga tetap di 2 kontrak
SAMA,STR079,Snowman Board Marker Blue,9500,9500,,harga tetap di 2 kontrak
SAMA,STR080,Snowman Board Marker Red,9500,9500,,harga tetap di 2 kontrak
SAMA,STR089,Paper Clip No. 3,4300,4300,,harga tetap di 2 kontrak
SAMA,STR094,Kenko 0,5 Mechanic Pencill,6000,6000,,harga tetap di 2 kontrak
SAMA,STR096,Pencil Sharpener Joyko,65000,65000,65000,harga tetap di 3 kontrak
SAMA,STR098,"Perforator/Punch HD Kenko 85N",66000,66000,,harga tetap di 2 kontrak
SAMA,STR104,Push Pin Kenko PN-30 Color,5500,5500,5500,harga tetap di 3 kontrak
SAMA,STR105,Ruller Butterfly 30 cm,4000,4000,,harga tetap di 2 kontrak
SAMA,STR106,"Scissor (Gunting Medium)",9800,9800,,harga tetap di 2 kontrak
SAMA,STR107,Sheet Protector A4 11 Ring,10000,10000,,harga tetap di 2 kontrak
SAMA,STR108,Sheet Protector F4 11 Ring,12000,12000,12000,harga tetap di 3 kontrak
SAMA,STR109,"Sheet Protector A3 Landscape 25's (BANTEX 2037)",187000,187000,187000,harga tetap di 3 kontrak
SAMA,STR111,Refill Pentell MG-8,23000,23000,,harga tetap di 2 kontrak
SAMA,STR113,Stamp Duty/Materai 10.000,11000,11000,,harga tetap di 2 kontrak
SAMA,STR118,Isi Staples 23/13 Kangaroo,25000,25000,,harga tetap di 2 kontrak
SAMA,STR122,Daimaru/Nachi Isolasi Bening 12 mm,5000,5000,,harga tetap di 2 kontrak
SAMA,STR123,Daimaru Isolasi Bening 24 mm,6000,6000,6000,harga tetap di 3 kontrak
SAMA,STR126,Daimaru Cloth Tape 48mm Green,20000,20000,,harga tetap di 2 kontrak
SAMA,STR130,Daimaru Cloth Tape 36mmx7y,16000,16000,,harga tetap di 2 kontrak
SAMA,STR133,Daimaru/Nachi Double Tape S 12mmx7y,4200,4200,,harga tetap di 2 kontrak
SAMA,STR136,Tray 3 Level Joyko DT-25,130000,130000,130000,harga tetap di 3 kontrak
SAMA,STR139,Zipper Bag Plastic 17cm X 15cm (BAGUS 30's/pack),32500,32500,,harga tetap di 2 kontrak
SAMA,STR140,Zipper Bag Plastic 18cm X 20cm (BAGUS 25's/pack),35000,35000,,harga tetap di 2 kontrak
SAMA,STR141,Zipper Bag Plastic 18cm X 23cm (BAGUS 20's/pack),35000,35000,,harga tetap di 2 kontrak
SAMA,STR142,Zipper Bag Plastic 25cm X 35cm (BAGUS 15's/pack),43000,43000,,harga tetap di 2 kontrak
SAMA,STR143,Zipper Bag Plastic 27cm X 28cm (BAGUS 20's/pack),46000,46000,,harga tetap di 2 kontrak
SAMA,STR144,Zipper Bag Plastic 33cm X 40cm (BAGUS 12's/pack),50000,50000,,harga tetap di 2 kontrak
NAIK,CLT006,"Paint Brush 2"" Eterna",7500,8000,,Asli->A1: +500
NAIK,CLT025,"Trash Bin 15L pedal, No Spesific brand, capacity 15L with pedal",140000,140000,145000,Asli->A2: +5000
NAIK,SNT003,Bayclin Bleaching/pemutih 500 ml,10000,14000,,Asli->A1: +4000
NAIK,SNT022,Kapur Barus Swallow/Dahlia 5 Balls,22000,23000,,Asli->A1: +1000
NAIK,SNT034,Downy Softener pouch 600ml,26000,27000,,Asli->A1: +1000
NAIK,STR001,Adhesive Label M 121,5000,5000,5300,Asli->A2: +300
