No,Category,Material Number,Detail Item,UoM,"PENAWARAN
SAAT KONTRAK KE-3"
3,Cleaning Tools,CLT003,"Broom for Spider webs cleaning, no spesific brand",Pcs," Rp 34,000 "
10,Cleaning Tools,CLT010,Dust Mat Nomad Jumbo Size 120cmx650cm with edging,Pcs,
11,Cleaning Tools,CLT011,Dust Mat size 50x100 cm with edging Nomad ,Pcs,
12,Cleaning Tools,CLT012,Dust Mat Krisbow Forhom 70x150 Cm Floor Mat / SKU: 10411172,Pcs,
21,Cleaning Tools,CLT021,Livina Spin Mop Deluxe BM-46,Pcs," Rp 285,000 "
22,Cleaning Tools,CLT022,"Krisbow SPRAYER 1L RED WHITE, SKU 10203535",Pcs," Rp 43,000 "
23,Cleaning Tools,CLT023,"Krisbow SPRAYER 2.5L RED WHITE, SKU 10203537",Pcs," Rp 75,000 "
27,Cleaning Tools,CLT027,"No Spesific brand, capacity 120L with pedal",Pcs," Rp 570,000 "
28,Cleaning Tools,CLT028,Lion Star Floor Wiper BM-10,Pcs," Rp 58,000 "
31,Cutleries,CTR002,Bowl Sango or Indokeramik 18-20cm,Set,
33,Cutleries,CTR004,Dinner Fork Doll or Equivalent 1 pack/6 Pcs,Set," Rp 42,000 "
35,Cutleries,CTR006,Cup set with saucer Sango or Indokeramik,Set,
36,Cutleries,CTR007,Citinova Bamboo,Set," Rp 65,000 "
37,Cutleries,CTR008,Disposable Paper Cup 9 Oz,Pack,
39,Cutleries,CTR010,"Plate Sango or Indokeramik 9""",Set,
40,Cutleries,CTR011,Dinner Spoon Doll or Equivalent 1 pack/6 Pcs,Set," Rp 40,000 "
45,Cutleries,CTR016,Plastik Wrap FOOD GRADE FDA DELKOCHOICE 60mm X 500M,Roll," Rp 300,000 "
47,Others,OTH002,AION Plas Chamois Jumbo Original- Yellow,Pcs," Rp 125,000 "
49,Others,OTH004,"Car Tire Brush, No presific brand",Pcs," Rp 20,000 "
51,Others,OTH006,Takari Fish Food 500 gr 2 mm,Kg," Rp 25,000 "
54,Others,OTH009,"Print Shift Ops Log Book (Soft Cover binding, 100 sheet, 80gr)",Set,
55,Others,OTH010,"Screw length approx 4cm, no spesific brand",Pack," Rp 15,000 "
56,Others,OTH011,Toilet seat cover bolt Toto or Equivalent,Pair," Rp 15,000 "
57,Others,OTH012,Sink Faucet PALOMA FCP 1862,Set," Rp 475,000 "
58,Others,OTH013,Sink Faucet PALOMA FCP 1861,Set," Rp 590,000 "
59,Others,OTH014,Wall Indoor Faucet Paloma FCP 6272,pcs," Rp 340,000 "
61,Others,OTH016,Wastafel Faucet Indoor TX 109 LD,Set," Rp 760,000 "
62,Others,OTH017,Diton Premium Aerosol Spray Paint 400cc,Bottle," Rp 48,000 "
63,Others,OTH018,Saniter Air & Surface Sanitizer Spray 400mL,Bottle," Rp 78,000 "
64,Others,OTH019,Print Roll Banner Albatros Size 80x200,Unit,
65,Others,OTH020,Print Banner Flexy Korea,Meter,
66,Others,OTH021,PR-8 Pressa Maxi Container L4,Unit," Rp 195,000 "
69,Others,OTH024,VC-13 Tugo Container 80 Litres,Unit," Rp 410,000 "
70,Others,OTH025,VC-20 Wagon Container 100 Litres,Unit," Rp 420,000 "
72,Others,OTH027,IC-2 Industrial Container 50 B,Unit," Rp 400,000 "
73,Pantry,PTR001,Good Day Cappucino Sachet 10 Pcs,Pack," Rp 25,000 "
74,Pantry,PTR002,"Coffee ""Kapal Api Perak"" 380 gram",Pack," Rp 40,000 "
76,Pantry,PTR004,Max Creamer refill 500 Gram,Pack," Rp 46,000 "
80,Pantry,PTR008,Aqua Mineral Water + Galoon,Bottle,
