No,Category,Material Number,Detail Item,UoM,Harga Kontrak 1,Harga Kontrak 2,Harga Kontrak 3,PENAWARAN SAAT KONTRAK KE-3,Harga Planning Kontrak 4,Strategy,Keterangan
1,Cleaning Tools,CLT001,"Floor Broom Brand ""2 Macan""",Pcs,Rp 39.000,Rp 39.000,,"Rp 42,000",Rp 42.000,PRICE_UP,
2,Cleaning Tools,CLT002,"No spesific brand, broom stick with handle",Pcs,Rp 26.000,Rp 26.000,,"Rp 28,000",Rp 28.000,PRICE_UP,
3,Cleaning Tools,CLT003,"Broom for Spider webs cleaning, no spesific brand",Pcs,,,,"Rp 34,000",Rp 34.000,NEW_ITEM,
4,Cleaning Tools,CLT004,Lion Star BR2 cloth brush,Pcs,,Rp 20.000,,"Rp 23,000",Rp 23.000,PRICE_UP,
5,Cleaning Tools,CLT005,Lion Star Floor Brush with handle,Pcs,Rp 28.000,Rp 28.000,Rp 28.000,"Rp 35,000",Rp 35.000,PRICE_UP,
6,Cleaning Tools,CLT006,Paint Brush no spesific brand wide 2inch,Pcs,,Rp 7.500,Rp 8.000,"Rp 9,800",Rp 9.800,PRICE_UP,
7,Cleaning Tools,CLT007,Lion Star toilet Brush BO-32,Pcs,,Rp 27.000,Rp 27.000,"Rp 30,000",Rp 30.000,PRICE_UP,
8,Cleaning Tools,CLT008,"Krisbow CHAMOIS PINK 43X32X0.2 PROCLEAN, SKU 10222449",Pcs,Rp 70.000,Rp 70.000,Rp 70.000,"Rp 74,000",Rp 74.000,PRICE_UP,
9,Cleaning Tools,CLT009,"Dust Feather with material Quill, lenth approx 40cm",Pcs,Rp 29.000,Rp 29.000,,"Rp 32,000",Rp 32.000,PRICE_UP,
10,Cleaning Tools,CLT010,Dust Mat Nomad Jumbo Size 120cmx650cm with edging,Pcs,,,,,,NO_PRICE,
11,Cleaning Tools,CLT011,Dust Mat size 50x100 cm with edging Nomad ,Pcs,,,,,,NO_PRICE,
12,Cleaning Tools,CLT012,Dust Mat Krisbow Forhom 70x150 Cm Floor Mat / SKU: 10411172,Pcs,,,,,,NO_PRICE,
13,Cleaning Tools,CLT013,3M Scotch Brite Dust Pan Plastic ID-44,Pcs,Rp 125.000,Rp 125.000,Rp 125.000,"Rp 130,000",Rp 130.000,PRICE_UP,
14,Cleaning Tools,CLT014,Krisbow FLAT MOP 24 INCH WITH ALUMUNIUM HANDLE SKU 10072717,Pcs,,Rp 260.000,,"Rp 375,000",Rp 375.000,PRICE_UP,
15,Cleaning Tools,CLT015,Miliard Hose 3/4 inch,Pcs,Rp 9.000,,,"Rp 450,000",Rp 450.000,PRICE_UP,harga penawaran 450.000/roll
16,Cleaning Tools,CLT016,"No Spesific Brand, Lobby Duster 60cm",Pcs,,Rp 110.000,,"Rp 125,000",Rp 125.000,PRICE_UP,
17,Cleaning Tools,CLT017,"No Spesific brand, rag cloth",Kg,Rp 14.500,Rp 14.500,Rp 14.500,"Rp 15,000",Rp 15.000,PRICE_UP,
18,Cleaning Tools,CLT018,Refill Krisbow FLAT MOP 24 INCH WITH ALUMUNIUM HANDLE SKU 10072719,Pcs,Rp 130.000,Rp 130.000,Rp 130.000,"Rp 145,000",Rp 145.000,PRICE_UP,
19,Cleaning Tools,CLT019,"No Spesific Brand, Refill Lobby Duster 60cm",Pcs,Rp 43.000,Rp 43.000,,"Rp 45,000",Rp 45.000,PRICE_UP,
20,Cleaning Tools,CLT020,Refill Livina Spin Mop Deluxe BM-46,Pcs,Rp 32.000,Rp 32.000,,"Rp 33,000",Rp 33.000,PRICE_UP,
21,Cleaning Tools,CLT021,Livina Spin Mop Deluxe BM-46,Pcs,,,,"Rp 285,000",Rp 285.000,NEW_ITEM,
22,Cleaning Tools,CLT022,"Krisbow SPRAYER 1L RED WHITE, SKU 10203535",Pcs,,,,"Rp 43,000",Rp 43.000,NEW_ITEM,
23,Cleaning Tools,CLT023,"Krisbow SPRAYER 2.5L RED WHITE, SKU 10203537",Pcs,,,,"Rp 75,000",Rp 75.000,NEW_ITEM,
24,Cleaning Tools,CLT024,"No Spesific brand, capacity 10L with pedal",Pcs,Rp 125.000,Rp 125.000,,"Rp 140,000",Rp 140.000,PRICE_UP,
25,Cleaning Tools,CLT025,"No Spesific brand, capacity 15L with pedal",Pcs,Rp 140.000,Rp 140.000,Rp 145.000,"Rp 150,000",Rp 150.000,PRICE_UP,
26,Cleaning Tools,CLT026,"No Spesific brand, capacity 50L with pedal",Pcs,Rp 295.000,,,"Rp 290,000",Rp 290.000,PRICE_DOWN,
27,Cleaning Tools,CLT027,"No Spesific brand, capacity 120L with pedal",Pcs,,,,"Rp 570,000",Rp 570.000,NEW_ITEM,
28,Cleaning Tools,CLT028,Lion Star Floor Wiper BM-10,Pcs,,,,"Rp 58,000",Rp 58.000,NEW_ITEM,
29,Cleaning Tools,CLT029,Lion Star Glass wiper BR-10,Pcs,,Rp 20.000,Rp 20.000,"Rp 20,000",Rp 20.000,CARRY_FORWARD,
